iter	MultiClass
315	0.3880763147
316	0.3877565911
317	0.3876650055
318	0.3875327122
319	0.3870731883
320	0.3869367246
321	0.3867042181
322	0.3864802466
323	0.3861731688
324	0.3859556401
325	0.3855868384
326	0.3854715876
327	0.3853169767
328	0.3852123383
329	0.385026959
330	0.3846832378
331	0.3845361544
332	0.3843026582
333	0.3839834048
334	0.3838663015
335	0.3837224535
336	0.3834970256
337	0.3832922995
338	0.3829354651
339	0.3827419356
340	0.3826443479
341	0.3823939503
342	0.3820885614
343	0.3818585543
344	0.3816659663
345	0.3814220412
346	0.3812352205
347	0.3811095229
348	0.3809233201
349	0.3807715342
350	0.3806339248
351	0.3804534548
352	0.380244853
353	0.3799242176
354	0.3797634933
355	0.3794375004
356	0.3792556876
357	0.3791262226
358	0.3789542588
359	0.3787278287
360	0.3784844394
361	0.3782808747
362	0.3781772303
363	0.3780861451
364	0.3779117773
365	0.3777737665
366	0.3774837902
367	0.3773437048
368	0.3770817314
369	0.3768848066
370	0.3764586499
371	0.3762532432
372	0.3759558029
373	0.3757728155
374	0.375664331
375	0.3755199914
376	0.3752927481
377	0.3751579348
378	0.3749346044
379	0.3747048036
380	0.3744938117
381	0.3743396196
382	0.3742435829
383	0.3740445584
384	0.3738645002
385	0.3736805419
386	0.3734864553
387	0.3733402755
388	0.3731455654
389	0.3728933786
390	0.3727475395
391	0.3725623893
392	0.3724716283
393	0.3723376701
394	0.3720810726
395	0.3719631873
396	0.371614437
397	0.3714491998
398	0.3713466872
399	0.3712284492
400	0.3711282293
401	0.3709521394
402	0.3707791256
403	0.3706468929
404	0.3705248316
405	0.3703903553
406	0.3701789798
407	0.3700415152
408	0.3699189311
409	0.369838503
410	0.3696365777
411	0.3695114516
412	0.3692835502
413	0.3690700439
414	0.3690348804
415	0.3688619283
416	0.3687070663
417	0.3684312193
418	0.3683425897
419	0.368230041
420	0.368159801
421	0.3679543535
422	0.3678803401
423	0.3677400629
424	0.3676686943
425	0.3675684577
426	0.3674165086
427	0.3672699081
428	0.3669401948
429	0.3666404724
430	0.3664479845
431	0.3663275523
432	0.3661168239
433	0.3660500397
434	0.3658610159
435	0.3657164558
436	0.3656188605
437	0.3654702788
438	0.3653828101
439	0.3652618751
440	0.3650572402
441	0.364885101
442	0.3647653988
443	0.3645960434
444	0.3644074546
445	0.3642296097
446	0.364088656
447	0.3638909301
448	0.363758188
449	0.3636698859
450	0.363567816
451	0.3634216452
452	0.3633478723
453	0.3632504832
454	0.3631343211
455	0.3630501588
456	0.362917356
457	0.3628345275
458	0.3625239499
459	0.3622986805
460	0.3622005628
461	0.362064808
462	0.3619895488
463	0.3618735542
464	0.3618087139
465	0.3616480486
466	0.3615281493
467	0.3613608662
468	0.3612304382
469	0.3611261364
470	0.3610638568
471	0.3609287324
472	0.3608604218
473	0.3606148157
474	0.3604820041
475	0.3603678957
476	0.3602520932
477	0.3601081878
478	0.3599465644
479	0.3598725169
480	0.3598181284
481	0.3596854546
482	0.3595016682
483	0.3592800241
484	0.3591584699
485	0.3590288274
486	0.3589312396
487	0.3587174922
488	0.3585396623
489	0.3583592636
490	0.3582733221
491	0.3580329205
492	0.3579056301
493	0.3578340369
494	0.3576343256
495	0.3573268864
496	0.3572171046
497	0.357009403
498	0.3568960213
499	0.3567850417
500	0.356638069
501	0.3564327487
502	0.35619177
503	0.3560793871
504	0.3560042665
505	0.3558969884
506	0.3558041125
507	0.3557311915
508	0.3555922506
509	0.3554543424
510	0.3553361308
511	0.3551880903
512	0.355068577
513	0.3548834206
514	0.3547257097
515	0.3546704121
516	0.3545866032
517	0.3544232264
518	0.3543247325
519	0.3542388226
520	0.3540960603
521	0.3540445762
522	0.3538661844
523	0.3537298373
524	0.3535287871
525	0.3534127477
526	0.3532181799
527	0.353129736
528	0.3529860424
529	0.3528654514
530	0.3526892836
531	0.3525956644
532	0.3524210676
533	0.3523494075
534	0.3522436866
535	0.3521305042
536	0.3518909996
537	0.3517869655
538	0.3516585606
539	0.351524221
540	0.3514534737
541	0.35130768
542	0.3512221235
543	0.3510759361
544	0.3508013403
545	0.35062826
546	0.3504688054
547	0.3503134594
548	0.3500853525
549	0.3499455417
550	0.3498989492
551	0.3497613447
552	0.3496861297
553	0.3496029652
554	0.3495269164
555	0.3493669576
556	0.3492903377
557	0.3492076705
558	0.3491300765
559	0.3490444315
560	0.3489434002
561	0.3488294451
562	0.3485597508
563	0.3484017414
564	0.3483250929
565	0.3481747903
566	0.348001196
567	0.3478953987
568	0.3477912941
569	0.3477188966
570	0.3475753395
571	0.3473032331
572	0.3472017349
573	0.3470637361
574	0.3469891479
575	0.3468494139
576	0.3467656009
577	0.346714497
578	0.3466204615
579	0.3465215745
580	0.3464366246
581	0.3463502628
582	0.3462159938
583	0.3461484058
584	0.346109208
585	0.3460023299
586	0.3458844106
587	0.3457495098
588	0.3456629477
589	0.3455620118
590	0.3454810175
591	0.3453086353
592	0.3450959963
593	0.3449310792
594	0.3447922172
595	0.3446743628
596	0.3445953925
597	0.3444673829
598	0.3443758888
599	0.3443086423
600	0.3441615752
601	0.3440845602
602	0.3439769523
603	0.3438565445
604	0.3437274984
605	0.3436452397
606	0.3435509254
607	0.3435028539
608	0.3433311931
609	0.3432766748
610	0.3431793159
611	0.3430960967
612	0.3429654533
613	0.3427904344
614	0.3425705483
615	0.3424898975
616	0.3424282061
617	0.3422546879
618	0.34209615
619	0.3420110774
620	0.341924831
621	0.3417976106
622	0.3415988621
623	0.3414764528
624	0.3413814568
625	0.34131259
626	0.3412733613
627	0.3410852345
628	0.340909137
629	0.3407386379
630	0.3406310313
631	0.3404346932
632	0.3402846604
633	0.3401211178
634	0.34006808
635	0.339927
636	0.3398871707
637	0.3397897597
638	0.3397047566
639	0.3396176751
640	0.3395506203
641	0.3394142652
642	0.339269668
643	0.3391473249
644	0.3391233919
645	0.33899692
646	0.3389053375
647	0.3388466544
648	0.338794754
649	0.3387074456
650	0.3386594401
651	0.3385992621
652	0.3385128952
653	0.3384053103
654	0.3382868853
655	0.3381868095
656	0.3380998777
657	0.3378855321
658	0.3377179821
659	0.3376472531
660	0.3374759958
661	0.3373637136
662	0.3372885033
663	0.3371600938
664	0.3370920322
665	0.3369451474
666	0.3368344351
667	0.3367821921
668	0.3366338683
669	0.3365557778
670	0.3364861079
671	0.3363244123
672	0.3362814721
673	0.336175294
674	0.3360872359
675	0.3359254535
676	0.3356977627
677	0.3354940857
678	0.3354060648
679	0.3353471563
680	0.3351495791
681	0.3350739906
682	0.3349336874
683	0.3348194216
684	0.3347296873
685	0.3346005283
686	0.334552773
687	0.3344577693
688	0.3342760347
689	0.3341962938
690	0.3341067933
691	0.3340187128
692	0.3338694257
693	0.3337034387
694	0.3335541027
695	0.3334630793
696	0.3333200453
697	0.3332080436
698	0.3331499452
699	0.3330406063
700	0.3329306443
701	0.3327691481
702	0.3326668101
703	0.3325998422
704	0.3325397675
705	0.3323897694
706	0.332334358
707	0.3322732483
708	0.332226871
709	0.3321438078
710	0.3320495105
711	0.331940815
712	0.331838384
713	0.3317772335
714	0.3315408697
715	0.3314646331
716	0.3313187602
717	0.3312055053
718	0.3311019798
719	0.3309273831
720	0.3308366933
721	0.3306893648
722	0.3306359834
723	0.3305375015
724	0.330450699
725	0.3303457084
726	0.3302527723
727	0.3301601065
728	0.3300208784
729	0.3298956928
730	0.3298088887
731	0.3297255887
732	0.329606142
733	0.3294519786
734	0.3293623107
735	0.3292934267
736	0.3291899555
737	0.3290851017
738	0.3289746416
739	0.3288652822
740	0.3287975037
741	0.3287022506
742	0.3286339705
743	0.3285827072
744	0.3285375166
745	0.3284581782
746	0.3283786255
747	0.3282680987
748	0.3281920714
749	0.328062502
750	0.3279871231
751	0.327915192
752	0.3278810788
753	0.3277383326
754	0.327653284
755	0.3274809126
756	0.3274369589
757	0.3273192752
758	0.3272443893
759	0.3271895965
760	0.3270366897
761	0.3269131364
762	0.3268714946
763	0.3268113844
764	0.3266057467
765	0.3265348293
766	0.3264560674
767	0.3263878423
768	0.3263062929
769	0.3262315389
770	0.3261526444
771	0.3260786984
772	0.3259175685
773	0.3257761498
774	0.3256897451
775	0.3256326522
776	0.3255366949
777	0.3254696059
778	0.3254096774
779	0.3253009899
780	0.3251244567
781	0.3250683334
782	0.3248931832
783	0.3248114006
784	0.3246840619
785	0.3246272424
786	0.3245429533
787	0.3244517787
788	0.3243574472
789	0.3242488733
790	0.3240655217
791	0.3239214795
792	0.323871831
793	0.3238240075
794	0.3237673312
795	0.3235794774
796	0.3235228963
797	0.3234785517
798	0.3233999571
799	0.3233328731
