Fold,F1-Score,Validation Score,Time (s)
1,0.3999667350264847,0.4849345776306028,4.794362306594849
2,0.4020435183863586,0.4857986845606556,4.70844578742981
3,0.3926426118674187,0.48213512954147775,4.72880220413208
4,0.39781815806503606,0.4849439446515591,4.933692932128906
5,0.39091846709970207,0.48098741274530094,4.707939863204956
