Fold,F1-Score,Validation Score,Time (s)
1,0.35607156982959104,0.7815470065611135,33.990708112716675
2,0.35767680252994694,0.7810577561407391,33.36383295059204
3,0.3633988378561518,0.7814671387475105,33.36091923713684
4,0.37082840772612524,0.7818101349856162,33.85896301269531
5,0.3624776345588391,0.7804270856384156,33.63639163970947
